Device Name,D2 - 2635257,,,,,,,,,,,
Device Model,Kestrel DROP 2,,,,,,,,,,,
Serial Number,2635257,,,,,,,,,,,
FORMATTED DATE_TIME,Temperature,Relative Humidity,Heat Index,Dew Point,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
YYYY-MM-DD HH:MM:SS,°F,%,°F,°F,,,,,,,,
"Jul 28, 2021 / 1:51:05 PM",75.1,54,74.3,57.3,point,,,,,,,
"Jul 28, 2021 / 1:51:10 PM",75.1,54,74.3,57.3,point,,,,,,,
"Jul 28, 2021 / 1:51:15 PM",75.1,54.1,74.3,57.4,point,,,,,,,
"Jul 28, 2021 / 1:51:20 PM",75.1,54.3,74.3,57.5,point,,,,,,,
"Jul 28, 2021 / 1:51:25 PM",75.1,54.4,74.3,57.6,point,,,,,,,
"Jul 28, 2021 / 1:51:30 PM",75.1,54.5,74.3,57.6,point,,,,,,,
"Jul 28, 2021 / 1:51:35 PM",75.1,54.6,74.3,57.7,point,,,,,,,
"Jul 28, 2021 / 1:51:40 PM",75.2,54.6,74.3,57.7,point,,,,,,,
"Jul 28, 2021 / 1:51:45 PM",75.2,54.7,74.3,57.7,point,,,,,,,
"Jul 28, 2021 / 1:51:50 PM",75.1,54.7,74.3,57.7,point,,,,,,,
"Jul 28, 2021 / 1:51:55 PM",75.2,54.7,74.3,57.8,point,,,,,,,
"Jul 28, 2021 / 1:52:00 PM",75.1,54.8,74.3,57.8,point,,,,,,,
"Jul 28, 2021 / 1:52:05 PM",75.2,54.8,74.3,57.8,point,,,,,,,
"Jul 28, 2021 / 1:52:10 PM",75.2,54.8,74.3,57.8,point,,,,,,,
"Jul 28, 2021 / 1:52:15 PM",75.2,54.9,74.3,57.8,point,,,,,,,
"Jul 28, 2021 / 1:52:20 PM",75.2,54.9,74.3,57.9,point,,,,,,,
"Jul 28, 2021 / 1:52:25 PM",75.2,55,74.3,57.9,point,,,,,,,
"Jul 28, 2021 / 1:52:30 PM",75.2,55,74.5,57.9,point,,,,,,,
"Jul 28, 2021 / 1:52:35 PM",75.2,55.1,74.5,57.9,point,,,,,,,
"Jul 28, 2021 / 1:52:40 PM",75.3,55.1,74.7,58,point,,,,,,,
"Jul 28, 2021 / 1:52:45 PM",75.2,55.1,74.7,58,point,,,,,,,
"Jul 28, 2021 / 1:52:50 PM",75.2,55.1,74.7,58,point,,,,,,,
"Jul 28, 2021 / 1:52:55 PM",75.2,55.1,74.7,58,point,,,,,,,
"Jul 28, 2021 / 1:53:00 PM",75.2,55.2,74.7,58.1,point,,,,,,,
"Jul 28, 2021 / 1:53:05 PM",75.2,55.5,74.7,58.2,point,,,,,,,
"Jul 28, 2021 / 1:53:10 PM",75.3,55.8,74.7,58.4,point,,,,,,,
"Jul 28, 2021 / 1:53:15 PM",75.3,56.1,74.7,58.6,point,,,,,,,
"Jul 28, 2021 / 1:53:20 PM",75.3,56,74.7,58.5,point,,,,,,,
"Jul 28, 2021 / 1:53:25 PM",75.3,55.9,74.7,58.4,point,,,,,,,
"Jul 28, 2021 / 1:53:30 PM",75.3,55.7,74.7,58.4,point,,,,,,,
"Jul 28, 2021 / 1:53:35 PM",75.3,55.7,74.7,58.3,point,,,,,,,
"Jul 28, 2021 / 1:53:40 PM",75.3,55.7,74.7,58.4,point,,,,,,,
"Jul 28, 2021 / 1:53:45 PM",75.3,55.6,74.7,58.3,point,,,,,,,
"Jul 28, 2021 / 1:53:50 PM",75.3,55.6,74.7,58.3,point,,,,,,,
"Jul 28, 2021 / 1:53:55 PM",75.3,55.6,74.7,58.4,point,,,,,,,
"Jul 28, 2021 / 1:54:00 PM",75.3,55.6,74.7,58.4,point,,,,,,,
"Jul 28, 2021 / 1:54:05 PM",75.3,55.5,74.7,58.3,point,,,,,,,
"Jul 28, 2021 / 1:54:10 PM",75.3,55.5,74.7,58.3,point,,,,,,,
"Jul 28, 2021 / 1:54:15 PM",75.3,55.5,74.7,58.3,point,,,,,,,
"Jul 28, 2021 / 1:54:20 PM",75.3,55.5,74.7,58.3,point,,,,,,,
"Jul 28, 2021 / 1:54:25 PM",75.3,55.5,74.7,58.3,point,,,,,,,
"Jul 28, 2021 / 1:54:30 PM",75.3,55.5,74.7,58.3,point,,,,,,,
"Jul 28, 2021 / 1:54:35 PM",75.3,55.5,74.7,58.3,point,,,,,,,
"Jul 28, 2021 / 1:54:40 PM",75.3,55.5,74.7,58.3,point,,,,,,,
"Jul 28, 2021 / 1:54:45 PM",75.4,55.7,74.8,58.5,point,,,,,,,
"Jul 28, 2021 / 1:54:50 PM",75.4,55.7,74.8,58.5,point,,,,,,,
"Jul 28, 2021 / 1:54:55 PM",75.4,55.7,74.8,58.5,point,,,,,,,
"Jul 28, 2021 / 1:55:00 PM",75.4,55.7,74.8,58.5,point,,,,,,,
"Jul 28, 2021 / 1:55:05 PM",75.4,55.7,74.8,58.5,point,,,,,,,
"Jul 28, 2021 / 1:55:10 PM",75.5,55.8,74.8,58.6,point,,,,,,,
"Jul 28, 2021 / 1:55:15 PM",75.5,56,74.8,58.7,point,,,,,,,
"Jul 28, 2021 / 1:55:20 PM",75.5,56,74.8,58.7,point,,,,,,,
"Jul 28, 2021 / 1:55:25 PM",75.4,56,74.8,58.6,point,,,,,,,
"Jul 28, 2021 / 1:55:30 PM",75.5,55.9,74.8,58.6,point,,,,,,,
"Jul 28, 2021 / 1:55:35 PM",75.5,55.9,74.8,58.6,point,,,,,,,
"Jul 28, 2021 / 1:55:40 PM",75.5,55.9,74.8,58.6,point,,,,,,,
"Jul 28, 2021 / 1:55:45 PM",75.4,55.9,74.8,58.6,point,,,,,,,
"Jul 28, 2021 / 1:55:50 PM",75.5,55.9,74.8,58.6,point,,,,,,,
"Jul 28, 2021 / 1:55:55 PM",75.5,55.9,74.8,58.6,point,,,,,,,
"Jul 28, 2021 / 1:56:00 PM",75.5,55.9,74.8,58.6,point,,,,,,,
"Jul 28, 2021 / 1:56:05 PM",75.5,55.9,74.8,58.7,point,,,,,,,
"Jul 28, 2021 / 1:56:10 PM",75.5,56,74.8,58.7,point,,,,,,,
"Jul 28, 2021 / 1:56:15 PM",75.5,56,74.8,58.7,point,,,,,,,
"Jul 28, 2021 / 1:56:20 PM",75.5,56,74.8,58.7,point,,,,,,,
"Jul 28, 2021 / 1:56:25 PM",75.5,56,74.8,58.7,point,,,,,,,
"Jul 28, 2021 / 1:56:30 PM",75.5,56,74.8,58.7,point,,,,,,,
"Jul 28, 2021 / 1:56:35 PM",75.5,56,74.8,58.7,point,,,,,,,
"Jul 28, 2021 / 1:56:40 PM",75.5,56,74.8,58.7,point,,,,,,,
"Jul 28, 2021 / 1:56:45 PM",75.5,56,74.8,58.7,point,,,,,,,
"Jul 28, 2021 / 1:56:50 PM",75.5,56,74.8,58.7,point,,,,,,,
"Jul 28, 2021 / 1:56:55 PM",75.5,56,74.8,58.7,point,,,,,,,
"Jul 28, 2021 / 1:57:00 PM",75.5,55.9,74.8,58.7,point,,,,,,,
"Jul 28, 2021 / 1:57:05 PM",75.5,56,74.8,58.7,point,,,,,,,
"Jul 28, 2021 / 1:57:10 PM",75.5,56.1,74.8,58.7,point,,,,,,,
"Jul 28, 2021 / 1:57:15 PM",75.5,56,74.8,58.7,point,,,,,,,
"Jul 28, 2021 / 1:57:20 PM",75.5,55.9,74.8,58.7,point,,,,,,,
"Jul 28, 2021 / 1:57:25 PM",75.5,55.8,74.8,58.6,point,,,,,,,
"Jul 28, 2021 / 1:57:30 PM",75.5,55.8,74.8,58.6,point,,,,,,,
"Jul 28, 2021 / 1:57:35 PM",75.5,55.7,74.8,58.6,point,,,,,,,
"Jul 28, 2021 / 1:57:40 PM",75.5,55.7,74.8,58.6,point,,,,,,,
"Jul 28, 2021 / 1:57:45 PM",75.5,55.6,74.8,58.6,point,,,,,,,
"Jul 28, 2021 / 1:57:50 PM",75.5,55.6,74.8,58.5,point,,,,,,,
"Jul 28, 2021 / 1:57:55 PM",75.5,55.5,74.8,58.5,point,,,,,,,
"Jul 28, 2021 / 1:58:00 PM",75.5,55.5,74.8,58.5,point,,,,,,,
"Jul 28, 2021 / 1:58:05 PM",75.5,55.4,74.8,58.4,point,,,,,,,
"Jul 28, 2021 / 1:58:10 PM",75.5,55.4,74.8,58.4,point,,,,,,,
"Jul 28, 2021 / 1:58:15 PM",75.6,55.5,75,58.5,point,,,,,,,
"Jul 28, 2021 / 1:58:20 PM",75.5,55.4,74.8,58.4,point,,,,,,,
"Jul 28, 2021 / 1:58:25 PM",75.6,55.3,75,58.4,point,,,,,,,
"Jul 28, 2021 / 1:58:30 PM",75.5,55.2,74.8,58.4,point,,,,,,,
"Jul 28, 2021 / 1:58:35 PM",75.5,55.2,74.8,58.3,point,,,,,,,
"Jul 28, 2021 / 1:58:40 PM",75.6,55.1,75,58.3,point,,,,,,,
"Jul 28, 2021 / 1:59:00 PM",75.5,54.9,74.7,58.2,point,,,,,,,
"Jul 28, 2021 / 1:59:30 PM",75.5,54.6,74.7,58.1,point,,,,,,,
"Jul 28, 2021 / 2:00:00 PM",75.5,54.3,74.7,57.9,point,,,,,,,
"Jul 28, 2021 / 2:00:30 PM",75.5,54.2,74.7,57.8,point,,,,,,,
"Jul 28, 2021 / 2:01:00 PM",75.7,54.4,74.8,58.1,point,,,,,,,
"Jul 28, 2021 / 2:01:30 PM",79.9,72.2,83.8,70.1,point,,,,,,,
"Jul 28, 2021 / 2:02:00 PM",86.4,92.1,108.1,83.8,point,,,,,,,
"Jul 28, 2021 / 2:02:30 PM",91,96.6,130.1,89.9,point,,,,,,,
"Jul 28, 2021 / 2:03:00 PM",96.1,97.5,158.2,95.3,point,,,,,,,
"Jul 28, 2021 / 2:03:30 PM",99.5,97.9,179.1,98.8,point,,,,,,,
"Jul 28, 2021 / 2:04:00 PM",101.3,98.2,190.8,100.7,point,,,,,,,
"Jul 28, 2021 / 2:04:30 PM",103.3,98.4,206.2,102.8,point,,,,,,,
"Jul 28, 2021 / 2:05:00 PM",105.9,98.5,225,105.4,point,,,,,,,
"Jul 28, 2021 / 2:05:30 PM",107.6,98.6,238.5,107.1,point,,,,,,,
"Jul 28, 2021 / 2:06:00 PM",109.3,98.8,253.6,108.9,point,,,,,,,
"Jul 28, 2021 / 2:06:30 PM",110.7,98.9,265.6,110.3,point,,,,,,,
"Jul 28, 2021 / 2:07:00 PM",112,98.9,277,111.6,point,,,,,,,
"Jul 28, 2021 / 2:07:30 PM",113.2,98.9,287,112.8,point,,,,,,,
"Jul 28, 2021 / 2:08:00 PM",114.2,99,297.5,113.8,point,,,,,,,
"Jul 28, 2021 / 2:08:30 PM",115,99,305.9,114.6,point,,,,,,,
"Jul 28, 2021 / 2:09:00 PM",115.8,99,313,115.5,point,,,,,,,
"Jul 28, 2021 / 2:09:30 PM",116.6,98.8,320.7,116.2,point,,,,,,,
"Jul 28, 2021 / 2:10:00 PM",117.5,95,313.3,115.6,point,,,,,,,
"Jul 28, 2021 / 2:10:30 PM",118.5,86.6,293,113.4,point,,,,,,,
"Jul 28, 2021 / 2:11:00 PM",119.4,72,250.2,107.9,point,,,,,,,
"Jul 28, 2021 / 2:11:30 PM",120.4,59.5,217.4,102.3,point,,,,,,,
"Jul 28, 2021 / 2:12:00 PM",121.7,53.1,206.1,99.7,point,,,,,,,
"Jul 28, 2021 / 2:12:30 PM",123.5,48.3,200.5,98.2,point,,,,,,,
"Jul 28, 2021 / 2:13:00 PM",125.1,44.1,194.7,96.7,point,,,,,,,
"Jul 28, 2021 / 2:13:30 PM",126.6,40.9,192,95.6,point,,,,,,,
"Jul 28, 2021 / 2:14:00 PM",128,38.4,190,94.7,point,,,,,,,
"Jul 28, 2021 / 2:14:30 PM",129.1,36,186.8,93.6,point,,,,,,,
"Jul 28, 2021 / 2:15:00 PM",129.9,33.9,183.9,92.4,point,,,,,,,
"Jul 28, 2021 / 2:15:30 PM",130.8,32.3,181,91.5,point,,,,,,,
"Jul 28, 2021 / 2:16:00 PM",131.5,30.4,177.3,90.2,point,,,,,,,
"Jul 28, 2021 / 2:16:30 PM",132.1,29,175.5,89.2,point,,,,,,,
"Jul 28, 2021 / 2:17:00 PM",132.6,27.5,173.8,88,point,,,,,,,
"Jul 28, 2021 / 2:17:30 PM",132.9,26.5,171.7,87,point,,,,,,,
"Jul 28, 2021 / 2:18:00 PM",133.3,25.5,170.2,86.2,point,,,,,,,
"Jul 28, 2021 / 2:18:30 PM",133.5,24.4,167.9,85,point,,,,,,,
"Jul 28, 2021 / 2:19:00 PM",133.5,16.7,148.5,73.4,point,,,,,,,
"Jul 28, 2021 / 2:19:30 PM",132.7,14,141.3,67.7,point,,,,,,,
"Jul 28, 2021 / 2:20:00 PM",132.2,13.7,139.6,66.5,point,,,,,,,
"Jul 28, 2021 / 2:20:30 PM",131.1,13.7,138,65.8,point,,,,,,,
"Jul 28, 2021 / 2:21:00 PM",129.4,13.8,135.9,64.7,point,,,,,,,
"Jul 28, 2021 / 2:21:30 PM",127.6,14.1,133.5,64,point,,,,,,,
"Jul 28, 2021 / 2:22:00 PM",126.1,14.5,131.5,63.4,point,,,,,,,
"Jul 28, 2021 / 2:22:30 PM",124.1,14.8,128.8,62.6,point,,,,,,,
"Jul 28, 2021 / 2:23:00 PM",121.9,15.3,126.3,61.8,point,,,,,,,
"Jul 28, 2021 / 2:23:30 PM",120.5,15.7,124.9,61.5,point,,,,,,,
"Jul 28, 2021 / 2:24:00 PM",118.7,16.2,122.7,60.8,point,,,,,,,
"Jul 28, 2021 / 2:24:30 PM",117.2,16.6,121.1,60.4,point,,,,,,,
"Jul 28, 2021 / 2:25:00 PM",116,17.1,119.8,60.2,point,,,,,,,
"Jul 28, 2021 / 2:25:30 PM",114.8,17.6,118.4,60.1,point,,,,,,,
"Jul 28, 2021 / 2:26:00 PM",113.5,18.1,117.1,59.9,point,,,,,,,
"Jul 28, 2021 / 2:26:30 PM",112.3,18.5,115.9,59.5,point,,,,,,,
"Jul 28, 2021 / 2:27:00 PM",111.1,19,114.4,59.3,point,,,,,,,
"Jul 28, 2021 / 2:27:30 PM",110,19.5,113.2,59.1,point,,,,,,,
"Jul 28, 2021 / 2:28:00 PM",108.8,20,111.7,58.8,point,,,,,,,
"Jul 28, 2021 / 2:28:30 PM",107.8,20.5,110.8,58.8,point,,,,,,,
"Jul 28, 2021 / 2:29:00 PM",106.6,21,109.4,58.4,point,,,,,,,
"Jul 28, 2021 / 2:29:30 PM",105.9,21.4,108.3,58.4,point,,,,,,,
"Jul 28, 2021 / 2:30:00 PM",104.9,21.7,107.1,58,point,,,,,,,
"Jul 28, 2021 / 2:30:30 PM",104.1,22.1,106.2,57.8,point,,,,,,,
"Jul 28, 2021 / 2:31:00 PM",103.3,22.5,105.4,57.7,point,,,,,,,
"Jul 28, 2021 / 2:31:30 PM",102.4,22.9,104.4,57.4,point,,,,,,,
"Jul 28, 2021 / 2:32:00 PM",101.9,23.2,103.6,57.3,point,,,,,,,
"Jul 28, 2021 / 2:32:30 PM",100.9,23.5,102.2,56.9,point,,,,,,,
"Jul 28, 2021 / 2:33:00 PM",100.2,23.8,101.5,56.7,point,,,,,,,
"Jul 28, 2021 / 2:33:30 PM",99.6,24.2,100.6,56.6,point,,,,,,,
